name,id,album,artists,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,genres,cluster_label
Bitch Better Have My Money,0NTMtAO2BV4tnGvw9EgBVq,Bitch Better Have My Money,['Rihanna'],0.0509,0.781,0.728,1.94e-06,0.257,-4.981,0.0621,102.99,0.395,"['barbadian pop', 'urban contemporary', 'pop']",6
I Was Never There,1cKHdTo9u0ZymJdPGSh6nq,"My Dear Melancholy,","['The Weeknd', 'Gesaffelstein']",0.14,0.323,0.737,0.000162,0.163,-4.008,0.0335,112.923,0.156,"['pop', 'dark clubbing', 'canadian contemporary r&b', 'canadian pop']",6
"Yeah, I Said It",7eDYNlBwRMeFOZHOZ95dZ1,ANTI (Deluxe),['Rihanna'],0.547,0.509,0.38,1.21e-06,0.359,-7.479,0.158,127.867,0.249,"['barbadian pop', 'urban contemporary', 'pop']",6
All Your Friends,5RcZ84RmZ0TVTZQR3fWHoG,A Sky Full of Stars,['Coldplay'],0.183,0.507,0.317,0.124,0.112,-12.177,0.0283,74.98,0.201,"['permanent wave', 'pop']",6
Needed Me,4pAl7FkDMNBsjykPXo91B3,ANTI (Deluxe),['Rihanna'],0.11,0.697,0.315,0.0,0.0825,-8.091,0.234,110.872,0.298,"['barbadian pop', 'urban contemporary', 'pop']",6
Starboy,7MXVkk9YMctZqd1Srtv4MB,Starboy,"['The Weeknd', 'Daft Punk']",0.141,0.679,0.587,6.35e-06,0.137,-7.015,0.276,186.003,0.486,"['filter house', 'canadian pop', 'electro', 'rock', 'pop', 'canadian contemporary r&b']",6
3500 (feat. Future & 2 Chainz),1SGt65i9AnXYdDQt1AtDRH,Rodeo,"['Travis Scott', 'Future', '2 Chainz']",0.113,0.781,0.595,2.48e-06,0.13,-6.069,0.155,123.973,0.338,"['trap', 'rap', 'southern hip hop', 'atl hip hop', 'pop rap', 'hip hop', 'slap house']",6
Stay,6uBhi9gBXWjanegOb2Phh0,Stay,"['Zedd', 'Alessia Cara']",0.253,0.69,0.622,0.0,0.116,-5.025,0.0622,102.04,0.544,"['edm', 'canadian pop', 'german techno', 'pop dance', 'pop', 'complextro', 'canadian contemporary r&b']",6
Born Again,18zQTt3ifDv6iLni2YuXMg,Black Panther: Wakanda Forever - Music From and Inspired By,['Rihanna'],0.475,0.465,0.26,0.0,0.138,-8.179,0.031,116.642,0.259,"['barbadian pop', 'urban contemporary', 'pop']",6
Creepin' (with The Weeknd & 21 Savage),2dHHgzDwk4BJdRwy9uXhTO,HEROES & VILLAINS,"['Metro Boomin', 'The Weeknd', '21 Savage']",0.391,0.716,0.613,0.0,0.0813,-6.018,0.0522,97.914,0.157,"['rap', 'canadian pop', 'atl hip hop', 'pop', 'hip hop', 'canadian contemporary r&b']",6
Popular (with Playboi Carti & Madonna),7GUhiAHLoVy1V8ucQuZ3CB,The Highlights (Deluxe),"['The Weeknd', 'Playboi Carti', 'Madonna']",0.0517,0.854,0.674,8.53e-05,0.509,-6.23,0.184,99.022,0.848,"['rap', 'canadian pop', 'rage rap', 'pluggnb', 'dance pop', 'atl hip hop', 'plugg', 'pop', 'canadian contemporary r&b']",6
Party Monster,4F7A0DXBrmUAkp32uenhZt,Starboy,['The Weeknd'],0.189,0.573,0.63,2.31e-05,0.259,-8.389,0.105,77.525,0.218,"['pop', 'canadian contemporary r&b', 'canadian pop']",6
Shameless,6C6fHTuFUxVtJpBOOaMvJr,Beauty Behind The Madness,['The Weeknd'],0.147,0.603,0.563,0.0,0.109,-8.313,0.027,100.06,0.234,"['pop', 'canadian contemporary r&b', 'canadian pop']",6
Don't Stop The Music,0ByMNEPAPpOR5H69DVrTNy,Good Girl Gone Bad: Reloaded,['Rihanna'],0.0341,0.834,0.669,7.18e-05,0.0535,-5.582,0.0637,122.669,0.547,"['barbadian pop', 'urban contemporary', 'pop']",6
Faith,2QIbiBkgr2pepvCkmWi3Vn,After Hours (Deluxe),['The Weeknd'],0.614,0.355,0.605,0.0483,0.146,-7.34,0.0774,175.472,0.123,"['pop', 'canadian contemporary r&b', 'canadian pop']",6
Hardest To Love,6t5zloC7h0EQllwYph9brV,After Hours (Deluxe),['The Weeknd'],0.0911,0.466,0.609,9.32e-05,0.122,-7.874,0.065,81.186,0.103,"['pop', 'canadian contemporary r&b', 'canadian pop']",6
Too Late,0zzc5kYkzTmWmwrn3CTk5v,After Hours (Deluxe),['The Weeknd'],0.0514,0.64,0.869,0.000121,0.691,-5.179,0.124,119.949,0.185,"['pop', 'canadian contemporary r&b', 'canadian pop']",6
House Of Balloons / Glass Table Girls,2r7BPog74oaTG5shNYiUnV,House Of Balloons - Original,['The Weeknd'],0.00237,0.662,0.511,0.0036,0.275,-8.419,0.0342,88.989,0.228,"['pop', 'canadian contemporary r&b', 'canadian pop']",6
Alone Again,3KQ1KVG2F8qAospksegrmZ,After Hours (Deluxe),['The Weeknd'],0.0337,0.255,0.653,0.107,0.168,-7.972,0.0551,90.673,0.058,"['pop', 'canadian contemporary r&b', 'canadian pop']",6
Rude Boy,60jzFy6Nn4M0iD1d94oteF,Rated R,['Rihanna'],0.113,0.563,0.75,0.0,0.0788,-4.496,0.127,173.909,0.812,"['barbadian pop', 'urban contemporary', 'pop']",6
Often - Kygo Remix,27NV2KxoQ8WuLMqlTDI61F,Often (Kygo Remix),"['The Weeknd', 'Kygo']",0.124,0.583,0.491,0.0,0.331,-9.876,0.0503,79.975,0.391,"['edm', 'canadian pop', 'pop dance', 'pop', 'canadian contemporary r&b', 'tropical house']",6
Desperado,4mCf3vQf7z0Yseo0RxAi3V,ANTI (Deluxe),['Rihanna'],0.323,0.68,0.609,0.0,0.102,-5.222,0.044,94.35,0.325,"['barbadian pop', 'urban contemporary', 'pop']",6
We Don't Trust You,1pnDvUuAEd6z8bKEsbAjk1,WE DON'T TRUST YOU,"['Future', 'Metro Boomin']",0.478,0.779,0.508,0.000439,0.243,-7.169,0.271,124.091,0.346,"['rap', 'southern hip hop', 'atl hip hop', 'hip hop', 'trap']",6
Kiss It Better,0UHB9METy4VCXNgkcGqHqS,ANTI (Deluxe),['Rihanna'],0.272,0.616,0.806,0.0,0.0672,-4.8,0.0488,95.028,0.876,"['barbadian pop', 'urban contemporary', 'pop']",6
Reminder,37F0uwRSrdzkBiuj0D5UHI,Starboy,['The Weeknd'],0.142,0.705,0.505,0.0,0.164,-6.923,0.193,160.053,0.388,"['pop', 'canadian contemporary r&b', 'canadian pop']",6
Snowchild,1Hp7vdJwQ4ozmAJzPAJpfX,After Hours (Deluxe),['The Weeknd'],0.166,0.676,0.61,6.47e-05,0.122,-7.558,0.114,148.118,0.24,"['pop', 'canadian contemporary r&b', 'canadian pop']",6
Real Life,03j354P848KtNU2FVSwkDG,Beauty Behind The Madness,['The Weeknd'],0.439,0.581,0.652,0.0,0.351,-5.039,0.0496,90.634,0.358,"['pop', 'canadian contemporary r&b', 'canadian pop']",6
King Of The Fall,7o3Mcis1uKcYDuuJD1W0Rm,King Of The Fall,['The Weeknd'],0.101,0.585,0.757,0.0,0.273,-4.752,0.0599,78.018,0.208,"['pop', 'canadian contemporary r&b', 'canadian pop']",6
Nothing Without You,3Te3gG6MPEDNqLGzWrjKC3,Starboy,['The Weeknd'],0.064,0.599,0.635,0.0,0.0878,-8.101,0.0679,109.919,0.194,"['pop', 'canadian contemporary r&b', 'canadian pop']",6
Love On The Brain,5oO3drDxtziYU2H1X23ZIp,ANTI (Deluxe),['Rihanna'],0.0717,0.509,0.637,1.08e-05,0.0789,-4.83,0.047,172.007,0.379,"['barbadian pop', 'urban contemporary', 'pop']",6
Out Of My Hands,2BOpFmZQ89Rjm2wvmud1MU,WE STILL DON'T TRUST YOU,"['Future', 'Metro Boomin']",0.162,0.815,0.522,1.1e-06,0.123,-6.668,0.113,122.067,0.431,"['rap', 'southern hip hop', 'atl hip hop', 'hip hop', 'trap']",6
Often,4PhsKqMdgMEUSstTDAmMpg,Beauty Behind The Madness,['The Weeknd'],0.222,0.572,0.631,0.0,0.135,-9.836,0.0476,134.078,0.0713,"['pop', 'canadian contemporary r&b', 'canadian pop']",6
After Hours,2p8IUWQDrpjuFltbdgLOag,After Hours,['The Weeknd'],0.0811,0.658,0.572,0.0061,0.121,-6.099,0.0308,108.968,0.144,"['pop', 'canadian contemporary r&b', 'canadian pop']",6
Try Me,4ppTAJUbNXELZcoUaL90wo,"My Dear Melancholy,",['The Weeknd'],0.596,0.453,0.679,0.000578,0.129,-5.778,0.0651,92.023,0.107,"['pop', 'canadian contemporary r&b', 'canadian pop']",6
"One Of The Girls (with JENNIE, Lily Rose Depp)",7CyPwkp0oE8Ro9Dd5CUDjW,The Idol Episode 4 (Music from the HBO Original Series),"['The Weeknd', 'JENNIE', 'Lily-Rose Depp']",0.0393,0.264,0.64,2.31e-06,0.151,-6.221,0.0442,84.828,0.19,"['pop', 'k-pop', 'canadian contemporary r&b', 'canadian pop']",6
Acquainted,7uJH0YdSZL6psjxI6Xy08b,Beauty Behind The Madness,['The Weeknd'],0.482,0.372,0.478,0.0,0.0844,-9.835,0.0503,101.102,0.254,"['pop', 'canadian contemporary r&b', 'canadian pop']",6
Diamonds,65YsalQBmQCzIPaay72CzQ,Diamonds,['Rihanna'],0.00108,0.554,0.669,0.0,0.138,-6.041,0.0426,91.993,0.405,"['barbadian pop', 'urban contemporary', 'pop']",6
"Fill The Void (with Lily Rose Depp, Ramsey)",010ZkIVv6Ay5vqqHVCCiKB,The Idol Episode 4 (Music from the HBO Original Series),"['The Weeknd', 'Lily-Rose Depp', 'Ramsey']",0.287,0.251,0.387,0.000238,0.16,-9.102,0.043,151.483,0.0767,"['canadian pop', 'dark pop', 'pop', 'dark r&b', 'canadian contemporary r&b']",6
Twenty Eight,3dQEShIMs5TW8H3eUh11r7,Trilogy,['The Weeknd'],0.566,0.636,0.64,0.000207,0.108,-7.171,0.0366,129.966,0.247,"['pop', 'canadian contemporary r&b', 'canadian pop']",6
Some Way,7zxRMhXxJMQCeDDg0rKAVo,NAV,"['NAV', 'The Weeknd']",0.101,0.745,0.715,0.0,0.0919,-6.103,0.351,154.963,0.34,"['melodic rap', 'rap', 'canadian pop', 'canadian hip hop', 'pop', 'trap', 'canadian contemporary r&b', 'canadian trap']",6
Timeless (with Playboi Carti),1Es7AUAhQvapIcoh3qMKDL,Timeless,"['The Weeknd', 'Playboi Carti']",0.0584,0.769,0.722,2.56e-06,0.111,-5.485,0.0507,119.973,0.57,"['rap', 'canadian pop', 'rage rap', 'pluggnb', 'atl hip hop', 'plugg', 'pop', 'canadian contemporary r&b']",6
Disturbia,2VOomzT6VavJOGBeySqaMc,Good Girl Gone Bad: Reloaded,['Rihanna'],0.0861,0.707,0.814,0.0,0.168,-4.509,0.0577,124.921,0.717,"['barbadian pop', 'urban contemporary', 'pop']",6
Faith,3orEOtd8CPL8GFlpRpKuoE,After Hours,['The Weeknd'],0.612,0.37,0.603,0.0439,0.147,-7.268,0.0735,175.962,0.125,"['pop', 'canadian contemporary r&b', 'canadian pop']",6
