name,id,album,artists,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,genres,cluster_label
Came to the Party,0ho8zpOysOSWZM9C4jALaV,WE STILL DON'T TRUST YOU,"['Future', 'Metro Boomin']",0.0536,0.597,0.451,0.000438,0.108,-9.45,0.312,87.009,0.0864,"['rap', 'southern hip hop', 'atl hip hop', 'hip hop', 'trap']",7
X (feat. Future),6fwdbPMwP1zVStm8FybmkO,Savage Mode,"['21 Savage', 'Metro Boomin', 'Future']",0.373,0.835,0.413,0.00133,0.101,-9.81,0.396,149.004,0.111,"['rap', 'southern hip hop', 'atl hip hop', 'hip hop', 'trap']",7
TKN (feat. Travis Scott),4w47S36wQGBhGg073q3nt7,TKN (feat. Travis Scott),"['ROSALÍA', 'Travis Scott']",0.192,0.776,0.509,1.49e-06,0.115,-6.266,0.467,94.634,0.485,"['slap house', 'r&b en espanol', 'rap', 'pop']",7
Overdue (with Travis Scott),6LyAwkJsHlW7RQ8S1cYAtM,NOT ALL HEROES WEAR CAPES (Deluxe),"['Metro Boomin', 'Travis Scott']",0.731,0.634,0.401,0.000132,0.334,-11.212,0.0446,150.174,0.494,"['rap', 'slap house']",7
Too Many Nights (feat. Don Toliver & with Future),2Hh3ETdQKrmSI3QS0hme7g,HEROES & VILLAINS,"['Metro Boomin', 'Future', 'Don Toliver']",0.189,0.573,0.668,4.01e-05,0.109,-4.356,0.0467,87.973,0.145,"['rap', 'southern hip hop', 'atl hip hop', 'hip hop', 'trap']",7
Hummingbird (Metro Boomin & James Blake),4EGt2Y8GqjVzjXi39UOQfg,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE / DELUXE EDITION),"['Metro Boomin', 'James Blake']",0.378,0.596,0.63,0.00407,0.19,-7.807,0.102,81.408,0.24,"['rap', 'uk alternative pop', 'indietronica', 'indie soul', 'art pop']",7
Graveyard,2ufmtcIFdFpuUYBPXK5f67,Manic,['Halsey'],0.231,0.667,0.583,4.48e-05,0.181,-5.127,0.0747,92.043,0.187,"['electropop', 'etherpop', 'indie poptimism', 'pop']",7
Borrowed Love (feat. Swae Lee & WizKid),0NA5xAtDra50d0Lfs2uvoh,NOT ALL HEROES WEAR CAPES (Deluxe),"['Metro Boomin', 'Swae Lee', 'Wizkid']",0.44,0.521,0.593,0.0,0.185,-8.811,0.464,129.232,0.392,"['afrobeats', 'melodic rap', 'rap', 'nigerian pop', 'afropop', 'trap', 'nigerian hip hop', 'azonto']",7
Roses,3vv9phIu6Y1vX3jcqaGz5Z,Roses,"['The Chainsmokers', 'ROZES']",0.0435,0.713,0.802,0.00377,0.309,-7.055,0.0561,100.001,0.343,"['electropop', 'alt z', 'indie poptimism', 'pop']",7
Parking Lot,4IFd7EVCyJsUHesBMXI8ju,Parking Lot,"['Mustard', 'Travis Scott']",0.17,0.724,0.555,2.61e-05,0.322,-7.2,0.0507,100.047,0.408,"['rap', 'cali rap', 'southern hip hop', 'pop rap', 'trap', 'slap house']",7
You (feat. Travis Scott),4qS2KPWvsQzLvRa9oCHw41,Life of a DON,"['Don Toliver', 'Travis Scott']",0.409,0.782,0.528,7.89e-05,0.0999,-6.035,0.0532,117.977,0.389,"['rap', 'slap house']",7
No Promises (feat. Demi Lovato),1louJpMmzEicAn7lzDalPW,No Promises (feat. Demi Lovato),"['Cheat Codes', 'Demi Lovato']",0.0575,0.741,0.667,0.0,0.106,-5.445,0.134,112.956,0.595,"['edm', 'pop dance', 'post-teen pop', 'pop']",7
Love Me,4e0FYxSROat25pH16zMTZI,We Love You Tecca,['Lil Tecca'],0.632,0.719,0.538,0.0,0.135,-6.897,0.28,204.132,0.803,"['rap', 'melodic rap', 'pluggnb']",7
Our Time,2WxUIiq06XXPYWl9YcRJnD,Virgo World,['Lil Tecca'],0.199,0.895,0.439,0.0,0.0683,-12.142,0.319,109.988,0.633,"['rap', 'melodic rap', 'pluggnb']",7
"Soweto (with Don Toliver, Rema & Tempoe)",25Kyv5SeEenT0EETpP2hYn,"Soweto (with Don Toliver, Rema and Tempoe)","['Victony', 'Rema', 'Tempoe', 'Don Toliver']",0.0541,0.719,0.756,0.0,0.109,-5.392,0.0761,105.024,0.647,"['rap', 'afrobeats', 'nigerian pop']",7
Lock On Me (with Travis Scott & Future),0OoNzMdPSgbkM5MkcuEZfm,HEROES & VILLAINS,"['Metro Boomin', 'Travis Scott', 'Future']",0.53,0.739,0.496,2.82e-05,0.0985,-8.358,0.265,93.947,0.191,"['trap', 'rap', 'southern hip hop', 'atl hip hop', 'hip hop', 'slap house']",7
HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,['Travis Scott'],0.0546,0.598,0.427,5.83e-06,0.21,-8.764,0.0317,76.469,0.0605,"['rap', 'slap house']",7
Die 4 Me,6VYAzAQGFsfEAwdorQaZuU,Die 4 Me,['Halsey'],0.338,0.688,0.742,0.0,0.345,-4.251,0.0733,145.086,0.564,"['electropop', 'etherpop', 'indie poptimism', 'pop']",7
Oh My Dis Side (feat. Quavo),2rMFawCg4BW65jzbwztXAV,Rodeo,"['Travis Scott', 'Quavo']",0.352,0.459,0.623,0.0,0.131,-4.45,0.0489,126.014,0.205,"['melodic rap', 'rap', 'atl hip hop', 'trap', 'slap house']",7
MY EYES,4kjI1gwQZRKNDkw1nI475M,UTOPIA,['Travis Scott'],0.651,0.455,0.621,2.59e-06,0.123,-7.694,0.0517,119.043,0.28,"['rap', 'slap house']",7
Don't,3pXF1nA74528Edde4of9CC,T R A P S O U L,['Bryson Tiller'],0.223,0.765,0.356,0.0,0.0963,-5.556,0.195,96.991,0.189,"['kentucky hip hop', 'rap', 'r&b']",7
Exchange,43PuMrRfbyyuz4QpZ3oAwN,T R A P S O U L,['Bryson Tiller'],0.107,0.525,0.433,0.0,0.135,-10.598,0.185,160.108,0.276,"['kentucky hip hop', 'rap', 'r&b']",7
Solo,4lH6nENd1y81jp7Yt9lTBX,HNDRXX,['Future'],0.0538,0.784,0.486,0.497,0.101,-6.497,0.0475,110.964,0.0894,"['rap', 'southern hip hop', 'atl hip hop', 'hip hop', 'trap']",7
Superhero (Heroes & Villains) [with Future & Chris Brown],0vjeOZ3Ft5jvAi9SBFJm1j,HEROES & VILLAINS,"['Metro Boomin', 'Future', 'Chris Brown']",0.138,0.709,0.583,2.97e-06,0.195,-5.298,0.204,116.624,0.533,"['rap', 'r&b', 'southern hip hop', 'atl hip hop', 'hip hop', 'trap']",7
Eastside (with Halsey & Khalid),7FGq80cy8juXBCD2nrqdWU,FRIENDS KEEP SECRETS,"['benny blanco', 'Halsey', 'Khalid']",0.549,0.632,0.686,0.0,0.2,-7.665,0.243,89.949,0.329,"['electropop', 'pop r&b', 'etherpop', 'indie poptimism', 'pop']",8
It Ain’t Me (with Selena Gomez),12GEpg2XOPyqk03JZEZnJs,It Ain't Me,"['Kygo', 'Selena Gomez']",0.119,0.64,0.533,0.0,0.0864,-6.596,0.0706,99.968,0.515,"['edm', 'post-teen pop', 'pop dance', 'pop', 'tropical house']",8
Double Fantasy (with Future),4VMRsbfZzd3SfQtaJ1Wpwi,Double Fantasy,"['The Weeknd', 'Future']",0.00572,0.613,0.573,2.58e-06,0.432,-7.277,0.0345,119.041,0.124,"['trap', 'rap', 'canadian pop', 'southern hip hop', 'atl hip hop', 'pop', 'hip hop', 'canadian contemporary r&b']",8
All I Know,0NWqNXBJTpXbkI5rPWNy3p,Starboy,"['The Weeknd', 'Future']",0.421,0.464,0.417,0.000202,0.102,-10.614,0.0786,120.049,0.172,"['trap', 'rap', 'canadian pop', 'southern hip hop', 'atl hip hop', 'pop', 'hip hop', 'canadian contemporary r&b']",8
rockstar (feat. 21 Savage),6C0CaFzJ3DVdYy0zMPzGcy,The Diamond Collection - Deluxe,"['Post Malone', '21 Savage']",0.117,0.592,0.53,0.000168,0.129,-6.045,0.0806,159.604,0.13,"['melodic rap', 'rap', 'atl hip hop', 'dfw rap', 'pop', 'hip hop']",8
Bones (feat. OneRepublic),53Ji6ZvVjsBl4pIuiETfhN,Church,"['Galantis', 'OneRepublic']",0.00463,0.659,0.804,0.0,0.178,-5.735,0.0381,120.041,0.506,"['edm', 'dance pop', 'progressive electro house', 'pop dance', 'pop', 'piano rock']",8
Dial Drunk (with Post Malone),22VHOlVYBqytsrAqV8yXBK,Dial Drunk (with Post Malone),"['Noah Kahan', 'Post Malone']",0.124,0.669,0.606,0.0,0.112,-7.193,0.0292,112.108,0.69,"['melodic rap', 'rap', 'dfw rap', 'pop', 'singer-songwriter pop', 'pov: indie']",8
Something Real,373nrXuYab2ryFwNjHDLxZ,AUSTIN (Bonus),['Post Malone'],0.000263,0.433,0.777,0.0,0.366,-5.105,0.0435,135.335,0.247,"['dfw rap', 'melodic rap', 'rap', 'pop']",8
Chemical,5w40ZYhbBMAlHYNDaVJIUu,Chemical,['Post Malone'],0.00154,0.49,0.88,0.0,0.103,-4.856,0.0435,169.949,0.392,"['dfw rap', 'melodic rap', 'rap', 'pop']",8
Circles,21jGcNKet2qwijlDFuPiPb,Hollywood's Bleeding,['Post Malone'],0.189,0.695,0.763,0.00242,0.0863,-3.497,0.0396,120.042,0.551,"['dfw rap', 'melodic rap', 'rap', 'pop']",8
Cooped Up (with Roddy Ricch),3RSNYrTfBFBv4NTRfKNp2M,Twelve Carat Toothache (Deluxe),"['Post Malone', 'Roddy Ricch']",0.038,0.669,0.773,0.0,0.113,-5.619,0.153,93.923,0.377,"['dfw rap', 'pop', 'rap', 'trap', 'melodic rap']",8
I Don't Wanna Wait,331l3xABO0HMr1Kkyh2LZq,I Don't Wanna Wait,"['David Guetta', 'OneRepublic']",0.0375,0.681,0.714,0.0,0.232,-4.617,0.0309,129.976,0.554,"['edm', 'dance pop', 'pop dance', 'pop', 'big room', 'piano rock']",8
Mourning,5NsdWdkHR3AScw6EKj51CA,AUSTIN (Bonus),['Post Malone'],0.0849,0.598,0.655,0.0,0.284,-4.568,0.0316,74.013,0.242,"['dfw rap', 'melodic rap', 'rap', 'pop']",8
White Iverson,6eT7xZZlB2mwyzJ2sUKG6w,Stoney - Deluxe,['Post Malone'],0.233,0.675,0.561,0.0,0.0793,-7.678,0.0352,130.098,0.309,"['dfw rap', 'melodic rap', 'rap', 'pop']",8
Just Hold On,27zK2lkAiqFw7y113I94H5,Neon Future III,"['Steve Aoki', 'Louis Tomlinson']",0.00383,0.647,0.932,1.5e-06,0.0574,-3.515,0.0824,114.991,0.374,"['edm', 'pop dance', 'pop', 'electro house']",8
Congratulations,3a1lNhkSLSkpJE4MSHpDu9,Stoney - Deluxe,"['Post Malone', 'Quavo']",0.215,0.63,0.804,0.0,0.253,-4.183,0.0364,123.146,0.492,"['melodic rap', 'rap', 'atl hip hop', 'dfw rap', 'pop', 'trap']",8
Let Me Love You,0lYBSQXN6rCTvUZvg9S0lU,Encore,"['DJ Snake', 'Justin Bieber']",0.0863,0.475,0.715,2.67e-05,0.135,-5.371,0.058,199.892,0.159,"['edm', 'canadian pop', 'electronic trap', 'dance pop', 'pop dance', 'pop']",8
Otherside,4qWCFTuNnmGNdY4egtb4ZY,beerbongs & bentleys,['Post Malone'],0.324,0.652,0.641,2.73e-06,0.208,-5.667,0.0353,104.929,0.111,"['dfw rap', 'melodic rap', 'rap', 'pop']",8
Motley Crew,40uMIn2zJLAQhNXghRjBed,Motley Crew,['Post Malone'],0.0904,0.797,0.631,3.71e-06,0.0998,-3.818,0.0786,129.915,0.288,"['dfw rap', 'melodic rap', 'rap', 'pop']",8
One Right Now (with The Weeknd),1nltpRhEiXikwDlVn4UADk,Twelve Carat Toothache,"['Post Malone', 'The Weeknd']",0.0363,0.682,0.764,0.0,0.103,-5.411,0.0477,97.023,0.701,"['melodic rap', 'rap', 'canadian pop', 'dfw rap', 'pop', 'canadian contemporary r&b']",8
TELEKINESIS (feat. SZA & Future),1i9lZvlaDdWDPyXEE95aiq,UTOPIA,"['Travis Scott', 'SZA', 'Future']",0.575,0.458,0.535,0.0,0.168,-4.854,0.0281,82.826,0.216,"['trap', 'rap', 'r&b', 'southern hip hop', 'atl hip hop', 'pop', 'hip hop', 'slap house']",8
Open Your Eyes,5HPj0yTUFEFNia8SWgjq46,Eyes Open,['Snow Patrol'],0.000722,0.525,0.784,0.00174,0.1,-6.334,0.0306,130.962,0.0621,"['neo mellow', 'permanent wave', 'modern rock', 'pop rock', 'irish rock']",8
Candy Paint,32lItqlMi4LBhb4k0BaSaC,beerbongs & bentleys,['Post Malone'],0.64,0.66,0.667,1.22e-06,0.0753,-5.941,0.156,180.044,0.381,"['dfw rap', 'melodic rap', 'rap', 'pop']",8
I Had Some Help (Feat. Morgan Wallen),7221xIgOnuakPdLqT0F3nP,I Had Some Help,"['Post Malone', 'Morgan Wallen']",0.00757,0.638,0.855,0.0,0.245,-4.86,0.0264,127.986,0.731,"['melodic rap', 'rap', 'dfw rap', 'pop', 'contemporary country']",8
Fortnight (feat. Post Malone),6dODwocEuGzHAavXqTbwHv,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,"['Taylor Swift', 'Post Malone']",0.502,0.504,0.386,1.53e-05,0.0961,-10.976,0.0308,192.004,0.281,"['dfw rap', 'melodic rap', 'rap', 'pop']",8
I Like You (A Happier Song) (with Doja Cat),0O6u0VJ46W86TxN9wgyqDj,Twelve Carat Toothache,"['Post Malone', 'Doja Cat']",0.121,0.733,0.67,0.0,0.121,-6.009,0.0751,100.964,0.472,"['melodic rap', 'rap', 'dance pop', 'dfw rap', 'pop']",8
Hollywood's Bleeding,7sWRlDoTDX8geTR8zzr2vt,Hollywood's Bleeding,['Post Malone'],0.331,0.405,0.646,0.0,0.103,-3.206,0.0476,130.218,0.17,"['dfw rap', 'melodic rap', 'rap', 'pop']",8
Young Metro,3OxL6MuctgZp1e0zxoAZhH,WE DON'T TRUST YOU,"['Future', 'Metro Boomin', 'The Weeknd']",0.11,0.716,0.664,0.0,0.11,-7.297,0.0571,112.054,0.209,"['rap', 'canadian pop', 'southern hip hop', 'atl hip hop', 'hip hop', 'pop', 'trap', 'canadian contemporary r&b']",8
The Monster,48RrDBpOSSl1aLVCalGl5C,The Marshall Mathers LP2,"['Eminem', 'Rihanna']",0.0526,0.781,0.853,0.0,0.12,-3.68,0.0714,110.046,0.626,"['rap', 'urban contemporary', 'pop', 'hip hop', 'detroit hip hop', 'barbadian pop']",8
Low Life (feat. The Weeknd),7EiZI6JVHllARrX9PUvAdX,EVOL,"['Future', 'The Weeknd']",0.337,0.722,0.331,0.282,0.146,-7.789,0.0726,143.961,0.102,"['rap', 'canadian pop', 'southern hip hop', 'atl hip hop', 'hip hop', 'pop', 'trap', 'canadian contemporary r&b']",8
Umbrella (with 21 Savage & Young Nudy),2Yt4SXIgmoaPZHGdRafp4P,HEROES & VILLAINS,"['Metro Boomin', '21 Savage', 'Young Nudy']",0.0737,0.82,0.786,0.000313,0.359,-3.683,0.171,110.985,0.386,"['trap', 'rap', 'southern hip hop', 'pluggnb', 'atl hip hop', 'hip hop']",8
I Wanna Be Yours,5XeFesFbtLpXzIVDNQP22n,AM,['Arctic Monkeys'],0.136,0.464,0.417,0.022,0.0974,-9.345,0.0256,67.528,0.479,"['permanent wave', 'modern rock', 'garage rock', 'sheffield indie', 'rock']",8
Watch This - ARIZONATEARS Pluggnb Remix,0FA4wrjDJvJTTU8AepZTup,Watch This (ARIZONATEARS Pluggnb Remix),"['Lil Uzi Vert', 'sped up nightcore', 'ARIZONATEARS']",0.0103,0.686,0.897,0.103,0.153,-7.18,0.0386,129.975,0.355,"['melodic rap', 'trap', 'rap', 'rage rap', 'nightcore', 'sped up', 'philly rap', 'hip hop']",8
Go Flex,5yuShbu70mtHXY0yLzCQLQ,Stoney - Deluxe,['Post Malone'],0.23,0.665,0.498,0.0,0.0757,-8.185,0.083,81.958,0.127,"['dfw rap', 'melodic rap', 'rap', 'pop']",8
Wow.,7xQAfvXzm3AkraOtGPWIZg,Hollywood's Bleeding,['Post Malone'],0.137,0.829,0.538,1.88e-06,0.103,-7.359,0.212,99.952,0.389,"['rap', 'pop', 'melodic rap', 'dfw rap']",8
Overdrive,71snOgSRnUsYu2G74VBy40,AUSTIN (Bonus),['Post Malone'],0.000374,0.555,0.729,0.000139,0.347,-5.062,0.0443,139.864,0.482,"['dfw rap', 'melodic rap', 'rap', 'pop']",8
If I Lose Myself - Alesso vs OneRepublic,1hZk9dktp4yRFTm0TrycuH,Native,"['OneRepublic', 'Alesso']",0.216,0.522,0.782,1.08e-05,0.133,-4.846,0.0412,125.994,0.169,"['edm', 'dance pop', 'progressive electro house', 'pop dance', 'pop', 'piano rock']",8
Take What You Want (feat. Ozzy Osbourne & Travis Scott),7CZyCXKG6d5ALeq41sLzbw,Hollywood's Bleeding,"['Post Malone', 'Ozzy Osbourne', 'Travis Scott']",0.0903,0.498,0.8,0.0,0.147,-2.665,0.0503,139.918,0.272,"['melodic rap', 'album rock', 'rap', 'hard rock', 'slap house', 'dfw rap', 'rock', 'alternative metal', 'pop', 'birmingham metal', 'glam metal', 'classic rock', 'metal']",8
Nosedive (Feat. Lainey Wilson),25uMKq5kygC2woAfeetEfE,F-1 Trillion,"['Post Malone', 'Lainey Wilson']",0.108,0.287,0.782,0.0,0.0825,-2.974,0.0439,154.154,0.471,"['melodic rap', 'rap', 'dfw rap', 'pop', 'contemporary country', 'modern country pop']",8
Sign Me Up,35PZZmwJIEvwfI4z1nMXRI,AUSTIN (Bonus),['Post Malone'],1.92e-05,0.501,0.85,0.0,0.347,-4.591,0.0688,145.834,0.416,"['dfw rap', 'melodic rap', 'rap', 'pop']",8
Love/Hate Letter To Alcohol (with Fleet Foxes),6R9c642Hs3tOdLowjYaWt2,Twelve Carat Toothache,"['Post Malone', 'Fleet Foxes']",0.037,0.475,0.569,0.00129,0.232,-7.073,0.0343,108.007,0.0395,"['folk', 'melodic rap', 'rap', 'modern rock', 'indie folk', 'singer-songwriter', 'dfw rap', 'seattle indie', 'chamber pop', 'indietronica', 'pop', 'stomp and holler', 'indie rock']",8
Green Thumb,0onScSO7HtUxKaqxtj0X23,AUSTIN (Bonus),['Post Malone'],0.741,0.442,0.238,0.0,0.12,-7.884,0.0425,86.728,0.262,"['dfw rap', 'melodic rap', 'rap', 'pop']",8
Too Cool To Die,4Q9r41IbGhNCTdgjxH9w8t,AUSTIN (Bonus),['Post Malone'],0.00375,0.582,0.749,0.0,0.113,-5.524,0.0389,106.999,0.433,"['dfw rap', 'melodic rap', 'rap', 'pop']",8
Jackie Chan,4vvnuJlgBeNVwq3TNmLMNX,The London Sessions,"['Tiësto', 'Dzeko', 'Preme', 'Post Malone']",0.374,0.747,0.833,0.0,0.0586,-2.867,0.045,128.008,0.687,"['house', 'electro house', 'canadian trap', 'dutch edm', 'canadian electronic', 'pop edm', 'canadian hip hop', 'pop', 'dutch house', 'trance', 'progressive electro house', 'edm', 'melodic rap', 'rap', 'brostep', 'dfw rap', 'pop dance', 'big room', 'slap house']",8
I Cannot Be (A Sadder Song) (with Gunna),4IxeKzzxUSEgivgtbSbyIK,Twelve Carat Toothache,"['Post Malone', 'Gunna']",0.0712,0.517,0.668,0.0,0.407,-6.012,0.116,79.782,0.646,"['melodic rap', 'rap', 'atl hip hop', 'dfw rap', 'pop', 'trap']",8
Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY,Hollywood's Bleeding,"['Post Malone', 'Swae Lee']",0.533,0.755,0.522,0.0,0.0685,-4.368,0.0575,89.96,0.925,"['melodic rap', 'rap', 'dfw rap', 'pop', 'trap']",8
Myself,2cvOfKHOHgwQlLiuLKP2xR,Hollywood's Bleeding,['Post Malone'],0.1,0.549,0.701,0.0,0.242,-4.234,0.0299,82.023,0.398,"['dfw rap', 'melodic rap', 'rap', 'pop']",8
A Thousand Bad Times,2J0NXdHr6MYvKDSxB7k3V2,Hollywood's Bleeding,['Post Malone'],0.109,0.633,0.733,1.23e-05,0.111,-3.496,0.0916,159.045,0.31,"['dfw rap', 'melodic rap', 'rap', 'pop']",8
Feel,7MTIDmToGs0I5Oue9V0CHl,Stoney - Deluxe,"['Post Malone', 'Kehlani']",0.214,0.496,0.506,4.92e-06,0.0948,-8.075,0.0584,119.377,0.192,"['melodic rap', 'rap', 'r&b', 'dfw rap', 'pop']",8
Wow.,2HfFu2QCNnJiTAWs6KTRmC,The Diamond Collection - Deluxe,['Post Malone'],0.127,0.833,0.554,1.14e-06,0.103,-7.194,0.148,99.973,0.417,"['dfw rap', 'melodic rap', 'rap', 'pop']",8
Alive,2SHnUyZq0zwmvRIl4WY77G,Play Hard EP,['Krewella'],0.00413,0.663,0.822,0.00318,0.234,-2.909,0.0557,128.002,0.567,"['edm', 'pop dance', 'electra', 'electro house']",8
Better Now,7dt6x5M1jzdTEt8oCbisTK,beerbongs & bentleys,['Post Malone'],0.331,0.674,0.578,0.0,0.135,-5.804,0.0408,145.07,0.34,"['dfw rap', 'melodic rap', 'rap', 'pop']",8
Eastside (with Halsey & Khalid) - Acoustic,5iQ0Va8Dt5Yky4TXuqO5TF,Eastside (with Halsey & Khalid) [Acoustic],"['benny blanco', 'Halsey', 'Khalid']",0.711,0.689,0.491,0.0,0.172,-6.042,0.0317,90.011,0.868,"['electropop', 'pop r&b', 'etherpop', 'indie poptimism', 'pop']",8
Wrong Ones (Feat. Tim McGraw),3nI1lZcOKxp4QHG6fCOW6g,F-1 Trillion: Long Bed,"['Post Malone', 'Tim McGraw']",0.00593,0.437,0.785,0.0,0.143,-3.846,0.0366,162.032,0.604,"['melodic rap', 'rap', 'country', 'dfw rap', 'pop', 'contemporary country', 'country road']",8
Boat,55tN1esXmaKoCnAyBTXast,Boat,['Ed Sheeran'],0.726,0.715,0.194,1.14e-06,0.36,-8.615,0.0329,102.855,0.367,"['uk pop', 'pop', 'singer-songwriter pop']",9
The Hills of Aberfeldy,1eYafSv4c2aFNf98hSFHX0,- (Deluxe),['Ed Sheeran'],0.878,0.322,0.202,0.0,0.0982,-7.626,0.0384,52.994,0.26,"['uk pop', 'pop', 'singer-songwriter pop']",9
Love In The Dark,7B5Npv8NjjTCzk8PLpU66h,25,['Adele'],0.528,0.331,0.341,0.0,0.109,-6.057,0.0309,109.821,0.152,"['british soul', 'uk pop', 'pop soul', 'pop']",9
Burn,0xMd5bcWTbyXS7wPrBtZA6,Halcyon Days,['Ellie Goulding'],0.31,0.559,0.777,0.0,0.105,-5.031,0.0432,87.016,0.329,"['uk pop', 'indietronica', 'pop', 'metropopolis']",9
"Still Falling For You - From ""Bridget Jones's Baby""",3odrUVQ9tvRpkC9II2oWzx,"Still Falling For You (From ""Bridget Jones's Baby"" Original Motion Picture Soundtrack)",['Ellie Goulding'],0.553,0.473,0.518,1.26e-06,0.111,-8.1,0.0405,96.129,0.18,"['uk pop', 'indietronica', 'pop', 'metropopolis']",9
Salt Water,6UIcjH0BzH2MKvToeEYIOZ,- (Deluxe),['Ed Sheeran'],0.587,0.586,0.373,3.47e-06,0.0702,-9.193,0.0356,147.057,0.288,"['uk pop', 'pop', 'singer-songwriter pop']",9
Lights - Single Version,2bRXehD283NioREYxlohc4,Bright Lights,['Ellie Goulding'],0.0297,0.682,0.795,0.0391,0.131,-6.17,0.0367,120.008,0.78,"['uk pop', 'indietronica', 'pop', 'metropopolis']",9
Burn,5lF0pHbsJ0QqyIrLweHJPW,Halcyon Nights,['Ellie Goulding'],0.3,0.313,0.76,0.0,0.105,-5.049,0.0616,86.735,0.343,"['uk pop', 'indietronica', 'pop', 'metropopolis']",9
Vega,1DSwFkEe28GSFmdIK92OFX,- (Deluxe),['Ed Sheeran'],0.806,0.746,0.403,0.0,0.134,-7.865,0.0387,123.954,0.356,"['uk pop', 'pop', 'singer-songwriter pop']",9
Shape of You,7qiZfU4dY1lWllzX7mPBI3,÷ (Deluxe),['Ed Sheeran'],0.581,0.825,0.652,0.0,0.0931,-3.183,0.0802,95.977,0.931,"['uk pop', 'pop', 'singer-songwriter pop']",9
Type Shit,28drn6tQo95MRvO0jQEo5C,WE DON'T TRUST YOU,"['Future', 'Metro Boomin', 'Travis Scott', 'Playboi Carti']",0.0215,0.64,0.552,0.0,0.119,-5.679,0.129,144.941,0.112,"['rap', 'rage rap', 'southern hip hop', 'pluggnb', 'atl hip hop', 'hip hop', 'plugg', 'trap', 'slap house']",9
We Found Love,6qn9YLKt13AGvpq9jfO8py,Talk That Talk,"['Rihanna', 'Calvin Harris']",0.025,0.735,0.766,0.00141,0.108,-4.485,0.0384,127.975,0.6,"['edm', 'uk dance', 'house', 'electro house', 'dance pop', 'urban contemporary', 'progressive house', 'pop', 'barbadian pop']",9
Umbrella,49FYlytm3dAAraYgpoJZux,Good Girl Gone Bad: Reloaded,"['Rihanna', 'JAY-Z']",0.00906,0.585,0.828,0.0,0.0426,-4.603,0.124,174.034,0.584,"['rap', 'east coast hip hop', 'urban contemporary', 'pop rap', 'gangster rap', 'pop', 'hip hop', 'barbadian pop']",9
We Still Don't Trust You,7sVbKoBdhXtYCEOO6qC1SN,WE STILL DON'T TRUST YOU,"['Future', 'Metro Boomin', 'The Weeknd']",0.0314,0.717,0.586,0.26,0.426,-6.15,0.0273,109.993,0.429,"['rap', 'canadian pop', 'southern hip hop', 'atl hip hop', 'hip hop', 'pop', 'trap', 'canadian contemporary r&b']",9
What Do I Know?,2pJZ1v8HezrAoZ0Fhzby92,÷ (Deluxe),['Ed Sheeran'],0.251,0.838,0.492,0.0,0.262,-5.69,0.038,115.092,0.895,"['uk pop', 'pop', 'singer-songwriter pop']",9
Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,÷ (Deluxe),['Ed Sheeran'],0.0232,0.461,0.834,1.14e-05,0.14,-4.868,0.0989,135.007,0.471,"['uk pop', 'pop', 'singer-songwriter pop']",9
Love Me Like You Do,0Cy7wt6IlRfBPHXXjmZbcP,Fifty Shades Freed (Original Motion Picture Soundtrack),['Ellie Goulding'],0.27,0.489,0.597,0.0,0.105,-6.633,0.0292,95.013,0.323,"['uk pop', 'indietronica', 'pop', 'metropopolis']",9
Collide,5sv0WnUs74Orn6GoPmC5im,=,['Ed Sheeran'],0.113,0.672,0.73,0.0,0.0612,-4.77,0.0372,123.969,0.559,"['uk pop', 'pop', 'singer-songwriter pop']",9
2step (feat. Lil Baby),2UN0lp72LAusrXi8LLVomt,2step (feat. Lil Baby),"['Ed Sheeran', 'Lil Baby']",0.138,0.693,0.643,0.0,0.108,-5.867,0.0828,95.055,0.477,"['trap', 'rap', 'atl hip hop', 'uk pop', 'pop', 'singer-songwriter pop', 'atl trap']",9
Bibia Be Ye Ye,6SznMYPQJHzr3IwsAHLId2,÷ (Deluxe),['Ed Sheeran'],0.52,0.738,0.677,0.0,0.133,-5.121,0.0824,127.067,0.882,"['uk pop', 'pop', 'singer-songwriter pop']",9
Galway Girl,0afhq8XCExXpqazXczTSve,÷ (Deluxe),['Ed Sheeran'],0.0735,0.624,0.876,0.0,0.327,-3.374,0.1,99.943,0.781,"['uk pop', 'pop', 'singer-songwriter pop']",9
Tenerife Sea,6vSwxzO2Qf4BinHSXRwZJe,x - Wembley Edition,['Ed Sheeran'],0.697,0.53,0.346,1.07e-05,0.105,-10.497,0.0376,121.876,0.359,"['uk pop', 'pop', 'singer-songwriter pop']",9
Magical,20uknEOwx3PpiGL2Es2vCg,Autumn Variations,['Ed Sheeran'],0.748,0.658,0.632,7.33e-05,0.169,-8.492,0.0298,135.924,0.464,"['uk pop', 'pop', 'singer-songwriter pop']",9
